link,fighter_1,fighter_2,method,round,time,weight_class
http://www.ufcstats.com/fight-details/f53573316a4f349f,Petr Yan,Deiveson Figueiredo,U-DEC,5,5:00,Bantamweight
http://www.ufcstats.com/fight-details/f0c4aff7dd1ec4e9,Yan Xiaonan,Tabatha Ricci,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/bec57d7cce0e6257,Muslim Salikhov,Song Kenan,KO/TKO,1,3:49,Welterweight
http://www.ufcstats.com/fight-details/64d6d51219e0664c,Gabriella Fernandes,Wang Cong,SUB,2,3:49,Women's Flyweight
http://www.ufcstats.com/fight-details/02ec66f311dce539,Carlos Ulberg,Volkan Oezdemir,U-DEC,3,5:00,Light Heavyweight
http://www.ufcstats.com/fight-details/56d2c00dfd391fcf,Zhang Mingyang,Ozzy Diaz,KO/TKO,1,2:25,Light Heavyweight
http://www.ufcstats.com/fight-details/9c207acb12c17a67,SuYoung You,Baergeng Jieleyisi,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/828de4f5585c908c,DongHun Choi,Kiru Sahota,KO/TKO,1,2:36,Flyweight
http://www.ufcstats.com/fight-details/baee9b2491c986e2,Shi Ming,Feng Xiaocan,KO/TKO,3,0:46,Women's Strawweight
http://www.ufcstats.com/fight-details/5dab54e34c2cfe01,Carlos Hernandez,Nyamjargal Tumendemberel,S-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/38f1c83c19e99fa2,Lone'er Kavanagh,Jose Ochoa,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/f5f28a8b472b8012,Xiao Long,Quang Le,KO/TKO,3,1:28,Bantamweight
http://www.ufcstats.com/fight-details/86a2f07e0bf20297,Nikolas Motta,Maheshate,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/b35e47f2f58ef026,Jon Jones,Stipe Miocic,KO/TKO,3,4:29,Heavyweight
http://www.ufcstats.com/fight-details/4f4189009a190e35,Charles Oliveira,Michael Chandler,U-DEC,5,5:00,Lightweight
http://www.ufcstats.com/fight-details/cfd3e62c638fbd1f,Bo Nickal,Paul Craig,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/8545a2495db16538,Viviane Araujo,Karine Silva,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/55eebc2ee92bf00a,Mauricio Ruffy,James Llontop,U-DEC,3,5:00,Catch Weight
http://www.ufcstats.com/fight-details/2a930e2d7e1f87a9,Marcus McGhee,Jonathan Martinez,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/35c8223cc967fe0a,Jim Miller,Damon Jackson,SUB,1,2:44,Lightweight
http://www.ufcstats.com/fight-details/c565e2baa27cc7e5,David Onama,Roberto Romero,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/6c1faa6284428e5d,Marcin Tybura,Jhonata Diniz,KO/TKO,2,5:00,Heavyweight
http://www.ufcstats.com/fight-details/00414fc5519233b4,Ramiz Brahimaj,Mickey Gall,KO/TKO,1,2:55,Welterweight
http://www.ufcstats.com/fight-details/9676a4e9362e4bfd,Oban Elliott,Bassil Hafez,KO/TKO,3,0:40,Welterweight
http://www.ufcstats.com/fight-details/40e2a7b65794ac05,Eduarda Moura,Veronica Hardy,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/73f451d894a1d4ca,Carlos Prates,Neil Magny,KO/TKO,1,4:50,Welterweight
http://www.ufcstats.com/fight-details/154138c8fc89c315,Reinier de Ridder,Gerald Meerschaert,SUB,3,1:44,Middleweight
http://www.ufcstats.com/fight-details/e6685759ed2af90d,Gaston Bolanos,Cortavious Romious,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/c31d9cac7534d879,Gillian Robertson,Luana Pinheiro,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/ea6427379a83bd01,Mansur Abdul-Malik,Dusko Todorovic,KO/TKO,1,2:44,Middleweight
